"","Date","File","Weight","WeightChange","Trials","Hit","FA","Thresholds","Phase","ID","Genotype","Frequency","Intensity","Duration","BG_Type","BG_Intensity","Condition","Sex","BBN_TH","4_TH","8_TH","16_TH","32_TH"
"404",2022-04-13,"4-32kHz_MIX5stepdB_50ms_4s",252,-0.0666666666666667,282,0.888,0.388,"27, 21, 11, 12","Thresholding, tones","Orange 4","TTS Noise","4-32kHz","MIX5stepdB","50ms","NA","NA","Baseline","Female",NA,27,21,11,12
"405",2022-04-14,"4-32kHz_30-90dB_50ms_4s_TR100ms",254,-0.0592592592592593,314,0.973,0.084,"NA, NA, NA, NA","Reaction times, BG","Orange 4","TTS Noise","4-32kHz","30-90dB","50ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"406",2022-04-15,"4-32kHz_30-90dB_50ms_4s_TR100ms_BG_PNK_50dB",256,-0.0518518518518519,341,0.886,0.163,"36, 34, 33, 34","Reaction times, BG","Orange 4","TTS Noise","4-32kHz","30-90dB","50ms","PNK","50","Baseline","Female",NA,36,34,33,34
"407",2022-04-16,"4-32kHz_MIXdB_50ms_4s",257,-0.0481481481481481,402,0.84,0.306,"44, 34, 14, 6","Suprathreshold","Orange 4","TTS Noise","4-32kHz","MIXdB","50ms","NA","NA","Baseline","Female",NA,44,34,14,6
"408",2022-04-18,"4-32kHz_30-90dB_50ms_4s_TR100ms",263,-0.0259259259259259,387,0.952,0.069,"NA, NA, NA, NA","Suprathreshold","Orange 4","TTS Noise","4-32kHz","30-90dB","50ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"409",2022-04-19,"4-32kHz_MIXdB_50ms_4s",261,-0.0333333333333333,308,0.884,0.152,"NA, 14, 4, 3","Suprathreshold","Orange 4","TTS Noise","4-32kHz","MIXdB","50ms","NA","NA","Baseline","Female",NA,NA,14,4,3
"410",2022-04-20,"4-32kHz_MIXdB_50ms_4s",256,-0.0518518518518519,208,0.854,0.109,"NA, 17, 10, 6","Suprathreshold","Orange 4","TTS Noise","4-32kHz","MIXdB","50ms","NA","NA","Baseline","Female",NA,NA,17,10,6
"411",2022-04-21,"4-32kHz_MIXdB_50ms_4s",256,-0.0518518518518519,231,0.877,0.29,"31, 31, 5, 11","Suprathreshold","Orange 4","TTS Noise","4-32kHz","MIXdB","50ms","NA","NA","Baseline","Female",NA,31,31,5,11
"412",2022-04-22,"4-32kHz_MIX5stepdB_50ms_4s_BG_PNK_30dB",256,-0.0518518518518519,342,0.921,0.402,"31, 36, 21, 17","Thresholding, BG","Orange 4","TTS Noise","4-32kHz","MIX5stepdB","50ms","PNK","30","Baseline","Female",NA,31,36,21,17
"413",2022-04-23,"4-32kHz_30-60dB_50ms_4s_TR100ms_BG_PNK_50dB",257,-0.0481481481481481,305,0.869,0.297,"35, 45, 37, 32","Thresholding, BG","Orange 4","TTS Noise","4-32kHz","30-60dB","50ms","PNK","50","Baseline","Female",NA,35,45,37,32
"414",2022-04-25,"4-32kHz_30-90dB_50ms_4s_TR100ms",256,-0.0518518518518519,199,0.964,0.136,"NA, NA, NA, NA","Suprathreshold","Orange 4","TTS Noise","4-32kHz","30-90dB","50ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"415",2022-04-26,"4-32kHz_MIXdB_50ms_4s",252,-0.0666666666666667,147,0.845,0.341,"23, 26, 7, 15","Suprathreshold","Orange 4","TTS Noise","4-32kHz","MIXdB","50ms","NA","NA","Baseline","Female",NA,23,26,7,15
"416",2022-04-27,"4-32kHz_30-90dB_50ms_4s_TR100ms",248,-0.0814814814814815,226,0.955,0.145,"31, NA, NA, NA","Reaction times, BG","Orange 4","TTS Noise","4-32kHz","30-90dB","50ms","NA","NA","Baseline","Female",NA,31,NA,NA,NA
"417",2022-04-28,"4-32kHz_30-90dB_50ms_4s_TR100ms_BG_PNK_50dB",254,-0.0592592592592593,381,0.921,0.228,"32, 34, 32, 32","Reaction times, BG","Orange 4","TTS Noise","4-32kHz","30-90dB","50ms","PNK","50","Baseline","Female",NA,32,34,32,32
"418",2022-04-29,"BBN_30-90dB_50ms_4s_TR100ms",259,-0.0407407407407407,334,0.991,0.09,"NA","BBN reaction time","Orange 4","TTS Noise","BBN","30-90dB","50ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"419",2022-04-30,"BBN_15-45dB_50ms_4s_TR100ms",257,-0.0481481481481481,251,0.79,0.16,"23","Thresholding, BBN","Orange 4","TTS Noise","BBN","15-45dB","50ms","NA","NA","Baseline","Female",23,NA,NA,NA,NA
"420",2022-05-03,"4-32kHz_MIXdB_50ms_4s",253,-0.062962962962963,493,0.843,0.209,"32, 19, 6, 12","Suprathreshold","Orange 4","TTS Noise","4-32kHz","MIXdB","50ms","NA","NA","Baseline","Female",NA,32,19,6,12
